<dummyMainClass: void dummyMainMethod(java.lang.String[])> -> <dummyMainClass: org.cert.echoer.MainActivity dummyMainMethod_org_cert_echoer_MainActivity(android.content.Intent)>
<dummyMainClass: org.cert.echoer.MainActivity dummyMainMethod_org_cert_echoer_MainActivity(android.content.Intent)> -> <org.cert.echoer.Button1Listener: void <init>(org.cert.echoer.MainActivity)>
<dummyMainClass: org.cert.echoer.MainActivity dummyMainMethod_org_cert_echoer_MainActivity(android.content.Intent)> -> <org.cert.echoer.Button1Listener: void onClick(android.view.View)>
<org.cert.echoer.Button1Listener: void <init>(org.cert.echoer.MainActivity)> -> <java.lang.Object: void <init>()>
<java.lang.Object: void <init>()> -> <java.lang.Object: void finalize()>
<java.lang.Object: void finalize()> -> <java.lang.RuntimeException: void <init>(java.lang.String)>
<java.lang.RuntimeException: void <init>(java.lang.String)> -> <java.lang.Exception: void <init>()>
<java.lang.Exception: void <init>()> -> <java.lang.Throwable: void <init>()>
<java.lang.Object: void <init>()> -> <java.lang.RuntimeException: void <init>(java.lang.String)>
<org.cert.echoer.Button1Listener: void onClick(android.view.View)> -> <java.lang.Throwable: void printStackTrace()>
<java.lang.Throwable: void printStackTrace()> -> <java.lang.RuntimeException: void <init>(java.lang.String)>
<dummyMainClass: org.cert.echoer.MainActivity dummyMainMethod_org_cert_echoer_MainActivity(android.content.Intent)> -> <org.cert.echoer.MainActivity: void <init>()>
<dummyMainClass: org.cert.echoer.MainActivity dummyMainMethod_org_cert_echoer_MainActivity(android.content.Intent)> -> <org.cert.echoer.MainActivity: void onCreate(android.os.Bundle)>
<dummyMainClass: org.cert.echoer.MainActivity dummyMainMethod_org_cert_echoer_MainActivity(android.content.Intent)> -> <org.cert.echoer.MainActivity: void onResume()>
<dummyMainClass: org.cert.echoer.MainActivity dummyMainMethod_org_cert_echoer_MainActivity(android.content.Intent)> -> <org.cert.echoer.MainActivity: boolean onCreateOptionsMenu(android.view.Menu)>
<org.cert.echoer.MainActivity: void onResume()> -> <org.cert.echoer.MainActivity: void getDataFromIntent()>
<org.cert.echoer.MainActivity: void getDataFromIntent()> -> <java.lang.Throwable: void printStackTrace()>
<org.cert.echoer.MainActivity: void getDataFromIntent()> -> <org.cert.echoer.MainActivity: android.content.Intent getIntent()>
<org.cert.echoer.MainActivity: void onCreate(android.os.Bundle)> -> <org.cert.echoer.Button1Listener: void <init>(org.cert.echoer.MainActivity)>
<org.cert.echoer.MainActivity: void onCreate(android.os.Bundle)> -> <org.cert.echoer.MainActivity: void getDataFromIntent()>
<org.cert.echoer.Button1Listener: void onClick(android.view.View)> -> <org.cert.echoer.MainActivity: void setResult(int,android.content.Intent)>
<org.cert.echoer.R$drawable: void <init>()> -> <java.lang.Object: void <init>()>
<org.cert.echoer.R$attr: void <init>()> -> <java.lang.Object: void <init>()>
<org.cert.echoer.R: void <init>()> -> <java.lang.Object: void <init>()>
<org.cert.echoer.R$style: void <init>()> -> <java.lang.Object: void <init>()>
<org.cert.echoer.BuildConfig: void <init>()> -> <java.lang.Object: void <init>()>
<org.cert.echoer.R$id: void <init>()> -> <java.lang.Object: void <init>()>
<org.cert.echoer.R$string: void <init>()> -> <java.lang.Object: void <init>()>
<org.cert.echoer.R$menu: void <init>()> -> <java.lang.Object: void <init>()>
<org.cert.echoer.R$layout: void <init>()> -> <java.lang.Object: void <init>()>
<org.cert.echoer.R$dimen: void <init>()> -> <java.lang.Object: void <init>()>
